Incident Dates,District,Battalion ,Number Of Incidents
2003/07/22,Russian Hill,B01,7
2003/08/01,Marina,B04,2
2003/08/04,Marina,B04,1
2003/08/06,Marina,B04,5
2003/08/07,Marina,B04,7
2003/08/09,Marina,B04,5
2003/08/10,Marina,B04,5
2003/05/12,Inner Richmond,B07,1
2003/06/11,Financial District/South Beach,B03,8
2003/06/16,Pacific Heights,B04,9
2003/06/26,Marina,B04,6
2003/01/03,Tenderloin,B03,1
2003/04/01,Chinatown,B01,5
2003/04/30,Tenderloin,B04,2
2003/07/13,Nob Hill,B04,1
2005/12/14,Golden Gate Park,B07,1
2005/12/14,Outer Richmond,B07,4
2003/05/26,Marina,B04,3
2006/11/05,Bayview Hunters Point,B10,6
2003/05/11,Lakeshore,B08,1
2003/04/16,Mission,B02,4
2003/06/11,Hayes Valley,B02,1
2007/12/20,Mission,B06,2
2010/06/27,Presidio Heights,B04,1
2010/09/19,North Beach,B01,2
2008/09/23,Sunset/Parkside,B08,2
2010/11/29,Pacific Heights,B04,5
2014/05/10,Outer Richmond,B07,2
2015/04/20,,B07,1
2021/11/23,,B08,1
2014/05/16,South of Market,B03,5
2014/06/05,South of Market,B03,7
2014/06/10,South of Market,B03,8
2014/06/16,Financial District/South Beach,B03,3
2014/07/12,Financial District/South Beach,B03,6
2014/09/16,South of Market,B02,3
2014/10/18,Financial District/South Beach,B03,6
2014/11/10,Tenderloin,B03,2
2014/12/16,South of Market,B03,6
2015/01/07,Tenderloin,B03,7
2015/01/17,South of Market,B03,3
2015/02/11,South of Market,B03,4
2015/05/07,South of Market,B03,3
2015/08/07,Financial District/South Beach,B01,3
2015/08/22,South of Market,B03,5
2015/11/03,South of Market,B03,4
2016/02/05,Tenderloin,B03,4
2016/04/05,Financial District/South Beach,B03,4
2016/05/17,Financial District/South Beach,B01,6
2016/10/10,South of Market,B03,4
2017/01/05,Tenderloin,B03,4
2017/01/17,South of Market,B03,5
2017/01/30,Financial District/South Beach,B03,5
2017/02/22,Tenderloin,B03,2
2017/04/17,Western Addition,B05,4
2017/06/02,South of Market,B03,5
2017/07/28,Tenderloin,B03,2
2017/08/27,South of Market,B02,3
2017/09/09,South of Market,B03,2
2017/09/30,South of Market,B02,2
2018/01/04,Financial District/South Beach,B03,11
2018/01/27,South of Market,B02,2
2018/01/31,South of Market,B03,6
2018/04/03,South of Market,B03,2
2018/05/29,South of Market,B03,6
2018/08/25,South of Market,B03,8
2019/03/10,South of Market,B03,4
2019/06/12,South of Market,B02,2
2019/07/06,South of Market,B02,1
2019/11/17,Tenderloin,B03,2
2019/12/16,South of Market,B03,3
2020/01/07,South of Market,B03,6
2020/02/23,Tenderloin,B03,5
2020/03/15,South of Market,B03,3
2020/06/07,South of Market,B02,2
2020/08/10,South of Market,B03,4
2020/08/30,Tenderloin,B03,4
2020/09/11,Financial District/South Beach,B03,4
2020/12/06,Financial District/South Beach,B03,2
2021/01/09,South of Market,B03,3
2021/01/13,Tenderloin,B03,5
2021/05/09,South of Market,B02,4
2021/08/07,South of Market,B02,2
2021/09/15,South of Market,B03,3
2021/09/17,South of Market,B03,8
2021/11/28,South of Market,B03,4
2021/12/04,South of Market,B03,3
2021/12/25,South of Market,B03,11
2022/01/01,Tenderloin,B03,4
2022/01/06,South of Market,B02,4
2022/04/16,South of Market,B03,3
2022/06/12,South of Market,B02,3
2022/08/16,South of Market,B03,6
2022/08/19,South of Market,B03,5
2022/11/11,Financial District/South Beach,B03,5
2022/11/19,South of Market,B02,6
2022/12/18,South of Market,B03,6
2023/01/17,South of Market,B03,2
2023/02/13,South of Market,B02,4
2023/02/25,South of Market,B03,4
2023/03/04,South of Market,B03,4
